RespondentID,CollectorID,StartDate,EndDate,IP Address,Email Address,First Name,LastName,Custom Data,"My goal for attending this session: - Open-Ended Response","On this topic, I consider myself:","In regards to this session, the content presented: - Is USEFUL to me","In regards to this session, the content presented: - Is APPLICABLE to my job","In regards to this session, the content presented: - Has CHANGED my thinking","In regards to this session, the content presented: - Has REINFORCED my thinking","List at least one thing you learned today that you will use in your classroom or program: - Open-Ended Response","Concerning the content of the session, how much of the following has increased? - KNOWLEDGE of content presented","Concerning the content of the session, how much of the following has increased? - CONFIDENCE that you can apply the knowledge in your job","Concerning the content of the session, how much of the following has increased? - MOTIVATION to implement the content/techniques presented","What is your current: - LEVEL OF UNDERSTANDING for the concepts of quantity relationships?","What is your current: - ABILITY to recognize quantity relationships in students’ thinking?","What is your current: - ABILITY to respond to the student needs identified in quantity relationships?","Awareness of Cognitive Domains - To what degree did an awareness of cognitive domains support your capacity to recognize and respond to your students’ mathematical thinking?","Describe how an awareness of cognitive domains supported your capacity to recognize and respond to your students’ mathematical thinking? - Open-Ended Response","Describe one aspect of the RMS that has been particularly relevant for your own learning and teaching in mathematics. - Open-Ended Response"
5340287566,96965881,04/26/2017 18:57:34,04/26/2017 19:09:14,"204.101.16.213","","","","","To be more effective in the teaching of mathematics.","Skilled/Knowledgeable","5 - Significantly","5 - Significantly","5 - Significantly","5 - Significantly","How to use pentominoes.","3","3","3","3","3","3","3","Better able to see the interconnections and relationships between different cognitive domains.","Using open ended problems more."
5340281127,96965881,04/26/2017 18:55:40,04/26/2017 19:04:18,"64.201.57.98","","","","","Learn as many effective math strategies as possible to support students in their learning. ","Skilled/Knowledgeable","4","4","5 - Significantly","5 - Significantly","The importance of concrete learning for all students in all grades. ","4","4","5 - Significantly","4","4","4","5 - A Great Deal","Allows you to identify specific needs and respond appropriately. ","I have made some goals- work closer with teachers to understand psych assessments and all the rich info that comes from them.   -work with teachers to help them determine where their students lie on the developmental continuum.   "
5340280249,96965881,04/26/2017 18:54:37,04/26/2017 19:03:38,"204.101.16.213","","","","","To gain new understanding to support our students and my colleagues.","Skilled/Knowledgeable","5 - Significantly","4","3","5 - Significantly","Activities with Pentominos, utilize more of the books in the 'box'.","3","5 - Significantly","5 - Significantly","5 - A Great Deal","5 - A Great Deal","5 - A Great Deal","5 - A Great Deal","It provides a well laid out continuum reference to help develop student understanding from where they are at and assists in moving them where they need to be.","I really enjoyed the sessions at the school where we were able to plan and then observe in the classroom(s)."
5340279211,96965881,04/26/2017 18:55:20,04/26/2017 19:02:51,"204.101.16.213","","","","","Insight into Grade 5/6 students.","Skilled/Knowledgeable","4","5 - Significantly","4",,"Using pentominoes in various strands","4","4","5 - Significantly","4","4","4","3","By noticing their needs","Understanding ways to help students understand concepts and show their thinking in various ways with a number of tools"
5340279022,96965881,04/26/2017 18:55:45,04/26/2017 19:02:43,"184.151.37.59","","","","","Listen and talk to colleagues about different strategies to respond and understand students thinking as they explore and investigate quantity relationships ","Skilled/Knowledgeable","5 - Significantly","5 - Significantly","5 - Significantly","4","Geometry game as well as the robot. Input and output. The use of different manipulative.","5 - Significantly","4","5 - Significantly","4","4","4","4","Helped me understand and are more aware of different processes and thinking of the students.  ","The learning and talking between colleagues as well as the different actitvies we can take and use "
5340277963,96965881,04/26/2017 19:00:02,04/26/2017 19:01:56,"64.201.57.98","","","","","Support classroom teachers","Skilled/Knowledgeable","2","2","1 - Not at All","4","Talking math","1 - Not at All","4","2","4","4","4","3",,
5340277650,96965881,04/26/2017 18:54:04,04/26/2017 19:01:41,"64.201.57.98","","","","","Learn more about quantity relationships and the direction of math teaching in the board.","Novice","5 - Significantly","5 - Significantly","5 - Significantly","3","Number talks, using manipulatives to build student thinking, providing students with ""challenges"" which will engage them and build conceptual understanding","5 - Significantly","5 - Significantly","5 - Significantly","4","3","3","3",,"The CILM experience has been invaluable - having the opportunity to work as a team to plan, implement, assess, and reflect upon student learning   Next year, it would be beneficial to spend more time learning about how to develop conceptual understanding in students with special needs who are a part of the regular classroom program - how is it possible to reach ALL of our kids in the limited time we have with them. "
5340276580,96965881,04/26/2017 18:56:42,04/26/2017 19:00:55,"204.101.16.213","","","","","Better understanding of concepts like quantity, measurement and fractions and how to teach them ","Novice","3","4","3","3","Better understanding of how to begin teaching algebra. ","3","3","4","3","3","3","3",,
5340276122,96965881,04/26/2017 18:53:24,04/26/2017 19:00:35,"64.201.57.98","","","","","To learn something new","Expert","1 - Not at All","1 - Not at All","1 - Not at All","1 - Not at All","Can't think of anything. Massive waste of time.","1 - Not at All","1 - Not at All","1 - Not at All","5 - A Great Deal","4","4","3","Understanding the role of various cognitive domains helps to understand why students are advancing in mathematical thinking and better address this.","The in school sessions were useful but the sessions held at JB were mostly irrelevant and a waste of time. No sincere attempt to understand and address what teachers need and respond. A pre-arranged program with little or no differentiation. Consultants looked like they were being forced to present a program they didn't believe in. Strategic leadership was significantly lacking. Whoever was in charge needs to be given another role."
5340275163,96965881,04/26/2017 18:55:23,04/26/2017 18:59:49,"24.114.71.158","","","","","To learn more about effectively teaching mathematics in my classroom","Novice","4","5 - Significantly","5 - Significantly","3","-availability of resources ","5 - Significantly","5 - Significantly","5 - Significantly","5 - A Great Deal","4","4","4",,
